Topic,Titles,Question,OptionA,OptionB,OptionC,OptionD,Answer
Structural Analysis,Classification of Coplanar Trusses, Simple trusses consist entirely of triangle. True or false?,True,False,Null,Null,True
Structural Analysis,Classification of Coplanar Trusses,Trusses and frames are different as:-,"Trusses can bend, frames can’t",Both can bend,None of them can bend,Trusses can’t but frame can,Trusses can’t but frame can
Structural Analysis,Classification of Coplanar Trusses,What is the major difference between truss and beam?,Beam can’t transmit load in vertical direction while truss can,Truss can’t transmit load in vertical direction while beam can,Beam can’t transmit load in axial direction while truss can,Truss can’t transmit load in axial direction while beam can,Truss can’t transmit load in vertical direction while beam can
Structural Analysis,Classification of Coplanar Trusses,A truss formed by joining two or more simple trusses is called:-,Simple,Compound,Complex,None of the mentioned,Compound
Structural Analysis,Classification of Coplanar Trusses,"If a truss has two more members surpassing each other, then it is:-",Simple,Compound,Complex,None of the mentioned,Complex
Structural Analysis,Classification of Coplanar Trusses,"If B = 5, R = 3 and J = 4, then the truss is:-",Statically determinate,Statically indeterminate,Stable,Unstable,Statically determinate
Structural Analysis,Classification of Coplanar Trusses,"If, in the above question R= 4 then the truss are:-",Statically determinate,Statically indeterminate,Stable,Unstable,Statically indeterminate
Structural Analysis,Classification of Coplanar Trusses,"If, in the above question R = 3 then the truss is:-",Statically determinate,Statically indeterminate and stable,Stable,Unstable,Unstable
Structural Analysis,Classification of Coplanar Trusses,A simple truss will be always internally stable. State whether the above sentence is true or false. ,True,False,w AnswerAnswer: a,"lanation: A simple truss starts with a triangle which is internally stable. Then we add rigid elements to it, so there is no scope of relative movement/deformation.",We must never use it
Structural Analysis,Three-Hinged Arch,Top most part of an arch is called ________,Sofit,Crown,Center,Abutment,Crown
Structural Analysis,Three-Hinged Arch,Which of the following is true in case of stone brick?,They are weak in compression and tension,They are good in compression and tension,They are weak in compression and good in tension,They are good in compression but weak in tension,They are good in compression but weak in tension
Structural Analysis,Three-Hinged Arch,Shape of three hinged arch is always :-,Hyperbolic,Circular,Parabolic,Can be any arbitrary curve,Parabolic
Structural Analysis,Three-Hinged Arch,Internal bending moment generated in a three hinged arch is always:-,0,Infinite,Varies,Non zero value but remains constant,0
Structural Analysis,Three-Hinged Arch,Internal shear force generated in a three hinged arch is always:-,0,Infinite,Varies,Non zero value but remains constant,0
Structural Analysis,Three-Hinged Arch,What is the degree of indeterminacy of a fixed arch?,1,2,3,4,3
Structural Analysis,Three-Hinged Arch,What is the degree of indeterminacy of a two hinged arch?,1,2,3,4,2
Structural Analysis,Internal Loadings at a Specified Point-1,How has been the most popular sign convention has been decided?,Logically,Arbitrary,Easiest to use,There is no popular sign convention,Arbitrary
Structural Analysis,Internal Loadings at a Specified Point-1,What will be the internal force generated at hinge B due to the above loading?,5,10,15,20,10
Structural Analysis,Internal Loadings at a Specified Point-1,What will be the internal force generated at hinge D due to the above loading?,5,10,15,20,10
Structural Analysis,Internal Loadings at a Specified Point-1,What will be the support force due to point C?,5,10,15,20,20
Structural Analysis,Internal Loadings at a Specified Point-1,What will be the support reaction generated by support A?,5,10,15,20,10
Structural Analysis,Internal Loadings at a Specified Point-1,What will be the support reaction generated by support E?,5,7.5,10,12.5,7.5
Structural Analysis,Internal Loadings at a Specified Point-1,What will be the support reaction generated by support G?,5,7.5,10,12.5,12.5
Structural Analysis,Internal Loadings at a Specified Point-1,What will be the internal force in y direction at joint B?,5,10,15,20,5
Structural Analysis,Internal Loadings at a Specified Point-1,What will be the internal force in x direction at joint B?,0,20,30,40,0
Structural Analysis,Portal Frames and Trusses,Portal frames are frequently used in a building to:-,Transfer vertical forces,Transfer moment,Transfer horizontal forces,It is a zero it is used to transfer horizontal force applied at top of frame to foundation,Transfer horizontal forces
Structural Analysis,Portal Frames and Trusses,Which of the following supports are not used in portals?,Fixed,Pin,partial,Roller,Roller
Structural Analysis,Portal Frames and Trusses,What is the degree of indeterminacy of a pin supported portal frame?,1,2,3,4,1
Structural Analysis,Portal Frames and Trusses,Where is point of inflection located in top girder in a pin supported portal frame?,At one of the ends,At both ends,At center of beam,Inflection point is not present,At center of beam
Structural Analysis,Portal Frames and Trusses,What is the relation between shear at the base of each columns of a portal frame which is pin supported?,They are equal,One is double of other,One is triple of other,Depends upon magnitude of load applied,They are equal
Structural Analysis,Portal Frames and Trusses,What is the degree of indeterminacy of a fixed supported portal frames?,1,2,3,4,3
Structural Analysis,Portal Frames and Trusses,Where is point of inflections of vertical members in a portal frame located at?,At centre,Depends upon magnitude of load,Depends upon relative lengths of vertical member,There is no inflection point in vertical members,Depends upon relative lengths of vertical member
Structural Analysis,Portal Frames and Trusses,What is the relation between shear at the base of each columns of a portal frame which is fixed supported (given length of columns are equal)?,They are equal,One is double of other,One is triple of other,Depends upon magnitude of load applied,They are equal
Structural Analysis,Portal Frames and Trusses,At what distance base is point of inflection assumed in column of a portal frame which is supported by partially fixed supports (length of column is L)?,L,L/2,L/3,L/4,L/2
Structural Analysis,Portal Frames and Trusses,In which case are trussed portals preferred over simple portals?,When they are used to span small distances,When they are used to span large distances,When they are used to span small loads,When they are used to span heavy loads,When they are used to span large distances
Structural Analysis,Influence Lines for Statically Indeterminate Beams-2,What will be the value of Rba?,1,0,2,3,0
Structural Analysis,Influence Lines for Statically Indeterminate Beams-2,What will be the value of Rca?,1,0,0.652,0.852,0.852
Structural Analysis,Influence Lines for Statically Indeterminate Beams-2,What will be the value of Rda?,1,0,0.481,0.681,0.481
Structural Analysis,Influence Lines for Statically Indeterminate Beams-2,What will be the slope of ILD at point A?,1,-1,0,can’t say,0
Structural Analysis,Influence Lines for Statically Indeterminate Beams-2,What will be the shape of overall ILD?,straight line,parabola,hyperbola,arbitrary curve,arbitrary curve
Structural Analysis,Influence Lines for Statically Indeterminate Beams-2,What is the change in slope at point B?,AR . XR/LR,AL . XL/IL,0,AR . XR/E . LR,0
Structural Analysis,Influence Lines for Statically Indeterminate Beams-2,Which of the following is method for solving indeterminate structures?,1 moment equation,2 moment equation,3 moment equation,4 moment equation,3 moment equation
Structural Analysis,Influence Lines for Statically Indeterminate Beams-2,3 moment method  is valid in:-,single span beams,only double span beams,double and single span beams,only multiple span beams,only multiple span beams
Structural Analysis,Influence Lines for Statically Indeterminate Beams-2,3 moment method can be used in:-,single span beams,only double span beams,double and single span beams,all types of beams,all types of beams
Structural Analysis,Loading Conditions for Strength Design,"By this method, the load factors are:-",Smaller than 0.5,0.5 < 0.75,0.75 < 1,Larger than 1,Larger than 1
Structural Analysis,Loading Conditions for Strength Design,Purpose of load factors is to account for:-,Lapse in designing,Lapse in constructing,Lapse in funding,Lapse in predicting magnitudes of dead or live load,Lapse in predicting magnitudes of dead or live load
Structural Analysis,Loading Conditions for Strength Design,Load factors used for live load are _____ than that used for dead loads.,Smaller,Larger,Depends upon case,Depends upon loading,Larger
Structural Analysis,Loading Conditions for Strength Design,The load factor to be used with strength design depends upon:-,Amount of load,Is constant,Depends upon engineer,Depends upon type of structure,Depends upon type of structure
Structural Analysis,Loading Conditions for Strength Design,Which of the following load combinations is recommended for building structures?,D + F,1.4D + F,D + 1.4F,1.4(D + F),1.4(D + F)
Structural Analysis,Loading Conditions for Strength Design,"When larger dead loads tend to reduce the effects of other loads, what is the recommended factor that is used with the dead load?",0.9,0.8,0.7,0.6,0.9
Structural Analysis,Loading Conditions for Strength Design,Load factors do not vary in relation to the seriousness of failure. Is the above statement true or false? ,True,False,w AnswerAnswer: a,lanation: Load factors were developed on the assumption that designers would consider the seriousness of all the possible failure in specifying loads. Load factors are minimum values.,lanation: Load factors were developed on the assumption that designers would consider the seriousness of all the possible failure in specifying loads. Load factors are minimum values.
Structural Analysis,Loading Conditions for Strength Design,"In the equation U-0.9D + 1.6W + 1.6H, what is the load factor for H if the structural action of H counteracts that due to W or E?",0.1,0.05,0.005,0,0
Structural Analysis,Loading Conditions for Strength Design,"In case of wind and seismic loads, how many times do we have to apply applicable equations?",1,2,3,4,2
Structural Analysis,Analysis of Beams-1,"While using slope deflection method, in which direction is moment taken as positive?",Clockwise,Anti-clockwise,Depends upon case,Depends upon loading,Clockwise
Structural Analysis,Analysis of Beams-1,"While drawing BMD after using these equations, in which direction is moment taken as positive?",Clockwise,Anti-clockwise,Depends upon case,Depends upon loading,Depends upon case
Structural Analysis,Analysis of Beams-1,"If support B settles by 1mm downward, what is direction of rotation at point A?",+ve,-ve,Can’t say,Depends upon loading at point A,+ve
Structural Analysis,Analysis of Beams-1,"If support A settles by 1mm downward, what is direction of rotation at point A?",+ve,-ve,Can’t say,Depends upon loading at point A,-ve
Structural Analysis,Analysis of Beams-1,"If support A settles by 1mm downward, what is direction of rotation at point B?",+ve,-ve,Can’t say,Depends upon loading at point A,-ve
Structural Analysis,Analysis of Beams-1,"If a beam has 4 external supports, then how many parts would it be divided in case of using slope deflection equations?",0,1,2,3,3
Structural Analysis,Analysis of Beams-1,How many sde (slope deflection equations) are possible if 4 supports are there?,0,3,4,6,6
Structural Analysis,Analysis of Beams-1,"Initially, how many total unknowns will be there in 6 equations?",3,6,9,12,9
Structural Analysis,Analysis of Beams-1,"After writing sde, what is the second step?",Use stress-strain relationship,Use equilibrium equations,Use compatibility equations,Can’t say,Use equilibrium equations
Structural Analysis,Analysis of Frames : No Sidesway-II,What will be the value of mAB?,22.9,45.7,-45.7,-22.9,22.9
Structural Analysis,Analysis of Frames : No Sidesway-II,What will be the value of mBA?,22.9,45.7,-45.7,-22.9,45.7
Structural Analysis,Analysis of Frames : No Sidesway-II,What will be the value of mBC?,22.9,45.7,-45.7,-22.9,-45.7
Structural Analysis,Analysis of Frames : No Sidesway-II,What will be the value of mCB?,22.9,45.7,-45.7,-22.9,45.7
Structural Analysis,Analysis of Frames : No Sidesway-II,What will be the value of mCD?,22.9,45.7,-45.7,-22.9,-45.7
Structural Analysis,Analysis of Frames : No Sidesway-II,What will be the value of mDC?,22.9,45.7,-45.7,-22.9,-22.9
Structural Analysis,Analysis of Frames : No Sidesway-II,This beam is a sway frame. State whether this statement is true or false. ,true,false,w AnswerAnswer: b,"lanation: This frame is a non-sway frame as due to its shape and geometry, no deflection is possible in any member.","lanation: This frame is a non-sway frame as due to its shape and geometry, no deflection is possible in any member."
Structural Analysis,Analysis of Frames : No Sidesway-II,What will be the value of FEMBC?,80,-80,-160,0,0
Structural Analysis,Analysis of Frames : No Sidesway-II,What will be the value of FEMCB?,80,0,-160,160,0
Structural Analysis,Analysis of Frames : No Sidesway-II,What will be the value of rotation at point A?,137.1/EI,-137.1/EI,0,100/EI,0
Structural Analysis,Analysis of Frames : No Sidesway-II,What will be the value of rotation at point C?,137.1/EI,-137.1/EI,0,100/EI,0
Structural Analysis,Analysis of Frames : No Sidesway-II,How many deflection unknowns will be there in this case for which we would need equations?,0,1,2,3,0
Structural Analysis,Analysis of Frames : No Sidesway-II,How many unknowns will be left finally which are non-zero?,0,1,2,3,1
Structural Analysis,Analysis of Frames : No Sidesway-II,How many total slope deflection equations will be written in this question?,8,6,4,3,4
Structural Analysis,Analysis of Frames : No Sidesway-II,Which of the following points should be chosen to generate extra equations?, B,B and C,C and D,D and A, B
Structural Analysis,Determinacy and Stability,"For the validity of principle of superposition, materials should behave in which manner?",linear-elastic,non-linear-elastic,Non-linear- inelastic,Linear- inelastic,Linear- inelastic
Structural Analysis,Determinacy and Stability,"If in planar system, X parts/members are there with Y no. of forces, then condition for statically determinacy is:-",Y < 3X,Y > 3X,Y = 3X,None of the mentioned,Y = 3X
Structural Analysis,Determinacy and Stability,"If Y > 3X (X and Y are from the above question) then, the system is:-",Statically indeterminate,Statically determinate,Can’t say,Depends on other conditions,Statically indeterminate
Structural Analysis,Determinacy and Stability,"If in a planar system, only 2 reaction forces are acting, then the system is:-",Essentially unstable,Essentially stable,Can’t say,None of the mentioned,Essentially unstable
Structural Analysis,Determinacy and Stability,"If all the reactions acting on a planar system are concurrent in nature, then the system is:-",Can’t say,Essentially stable,Essentially unstable,None of the mentioned,Essentially unstable
Structural Analysis,Determinacy and Stability,"If 4 reactions are acting on a beam, then the system is:-",Unstable & indeterminate,Stable & indeterminate,Stable & determinate,Can’t say,Can’t say
Structural Analysis,Determinacy and Stability,"If a system has more equations of equilibrium than no. of forces, then the system is:-",Improperly constrained,Partially constrained,Stable,Solvable,Partially constrained
Structural Analysis,Determinacy and Stability,"How many cases out of the following are improperly constrained? Parallel forces, concurrent forces, perpendicular forces, only moment ",1,2,3,4,2
Structural Analysis,Determinacy and Stability,"If a structure has total 10 joints, then what should be the minimum no. of joints in which equilibrium equations should be concurrently satisfied for stability?",7,8,9,10,10
Structural Analysis,Determinacy and Stability,"If a truss consists of a non-triangular element, then it will essentially be unstable. State whether the above statement is true or false. ",true,false,w AnswerAnswer: b,"lanation: In these cases, instability is the most probable occurrence, but there are a lot of examples which are unstable.","lanation: In these cases, instability is the most probable occurrence, but there are a lot of examples which are unstable."
Structural Analysis,Tributary Areas,The tributary is an unloaded area. This statement is:-,True,False,Null,Null,False
Structural Analysis,Tributary Areas,The tributary area lines between two columns/beams are at how much distance from one of the beam?,0.2 of the total in between length,0.4 of the total in between length,0.5 of the total in between length,Depends on the amount of load carried,0.5 of the total in between length
Structural Analysis,Tributary Areas,"For an interior girder, what is the shape of tributary area?",Rectangular,Triangular,Circular,Depends upon case,Depends upon case
Structural Analysis,Tributary Areas,What is the maximum no. of structures to which an area can be a tributary are to?,1,2,3,4,1
Structural Analysis,Tributary Areas,Which out of the following statements is true?,Tributary area > influence area,Tributary area <= influence area,Tributary area >= influence area,No relation can be defined,Tributary area <= influence area
Structural Analysis,Tributary Areas,"If in an interior beam, adjacent structures are exactly similar then the tributary area is:-",Trapezium,Acute triangle,Obtuse triangle,Right angled triangle,Right angled triangle
Structural Analysis,Tributary Areas,One area can serve as an influence area to more than one member of a structure at the same time. State whether the above statement is true or false. ,True,False,w AnswerAnswer: a,lanation: Unlike tributary areas influences can serve to more than one as they can affect more than one forces on loaded.,lanation: Unlike tributary areas influences can serve to more than one as they can affect more than one forces on loaded.
Structural Analysis,Tributary Areas,"When column supports the top floor of a building, then live load reduction is:-",Permitted,Not permitted,Depends upon type of beam,Depends upon amount of load,Not permitted
Structural Analysis,Moment-Area Theorems – 2,What is the shape for SFD of this diagram?,Linear,Parabolic,Linear with discontinuity,Arbitrary curve,Linear with discontinuity
Structural Analysis,Moment-Area Theorems – 2,What is the shape of BMD for this diagram?,Rectangular,Triangular,Parabolic,Arbitrary curve,Triangular
Structural Analysis,Moment-Area Theorems – 2,Where is the peak point of SFD?,A,C,B,between A and C,A
Structural Analysis,Moment-Area Theorems – 2,What should be the area that should be considered if we want to find slope at point B wrt initial beam?,from A to C,from A to B,from C to  B,depends upon the loading condition,from C to  B
Structural Analysis,Moment-Area Theorems – 2,What is the value of slope at point B wrt initial beam?,10/EI,20/EI,30/EI,40/EI,40/EI
Structural Analysis,Moment-Area Theorems – 2,"To calculate maximum deformation in the deflected beam, which part of the area should be considered?",from A to B,from A to C,from B to C,can’t say,from A to C
Structural Analysis,Moment-Area Theorems – 2,"To calculate maximum deformation in deflected beam, about which point should we take moment of the required part of area?",A,B,C,can’t say,A
Structural Analysis,Moment-Area Theorems – 2,What is the value of maximum deformation in this case?,80/3EI,120/3EI,180/3EI,40/3EI,80/3EI
Structural Analysis,Moment-Area Theorems – 2,"To calculate relative deflections of tangents at point A and B at point B, about which point should we moment of the required part of area?",A,B,C,can’t say,B
Structural Analysis,Moment-Area Theorems – 2,"To calculate relative deflections of tangents at point A and B at point B, which part of area should be considered?",A to B,A to C,C to B,can’t say,A to B
Structural Analysis,Moment-Area Theorems – 2,What will be the value of relative deflections of tangents at point A and B at point B?,20/3EI,40/3EI,80/3EI,160/3EI,80/3EI
Structural Analysis,Analysis of Beams-3,"What will be the value of mCB, after solving these equations?",3.09,1.54,12.86,-3.09,-3.09
Structural Analysis,Analysis of Beams-3,"What will  be the value of mBA, after solving these equations?",3.09,1.54,12.86,-3.09,12.86
Structural Analysis,Analysis of Beams-3,What will be the shear at point A?,-0.379,0.479,-0.579,0.679,-0.579
Structural Analysis,Analysis of Beams-3,What will be the shear at point C?,-11.86,12.86,-13.86,14.86,12.86
Structural Analysis,Analysis of Beams-3,What will be the support reaction at point B?,4.95,-5.95,3.65,can’t say,4.95
Structural Analysis,Analysis of Beams-3,How many separate parts will be required for this question?,0,1,2,3,2
Structural Analysis,Analysis of Beams-3,What is FEM of point A in beam AB?,18,-18,96,-96,-96
Structural Analysis,Analysis of Beams-3,What is FEM of point C in beam BC if we assume beam BC to be fixed?,12,-12,36,-36,12
Structural Analysis,Analysis of Beams-3,What will be the end moment at point B in beam BC?,18,-18,96,-96,96
Structural Analysis,Analysis of Beams-3,What will be the end moments at point B in beam BC if beam BC is considered to be fixed at support B and pin supported at support C?,18,-18,96,-96,-18
Structural Analysis,Analysis of Beams-3,What will be the deflection of beam AB?,0,1/EI,2/EI,can’t say,0
Structural Analysis,Analysis of Beams-3,What will be the deflection of beam BC?,0,1/EI,2/EI,can’t say,0
Structural Analysis,Analysis of Beams-3,What will be the rotation of beam AB at point A?,0.2,-0.2,0,can’t say,0
Structural Analysis,Analysis of Beams-3,What will be the rotation of beam BC at point C?,0.2,-0.2,0,it will depend upon the rotation of beam BC at point B,it will depend upon the rotation of beam BC at point B
Structural Analysis,Analysis of Beams-3,"After using all the joint conditions, how many unknowns are still left?",0,1,2,3,1
Structural Analysis,Internal Loadings at a Specified Point-2,What will be the internal force in y direction at joint B?,10,20,30,40,30
Structural Analysis,Internal Loadings at a Specified Point-2,What will be the internal force in x direction at joint B?,0,20,30,40,0
Structural Analysis,Internal Loadings at a Specified Point-2,What will be the internal force generated at hinge D due to the above loading?,5,10,15,20,15
Structural Analysis,Internal Loadings at a Specified Point-2,What will be the internal force generated at hinge B due to the above loading?,5,10,15,20,15
Structural Analysis,Internal Loadings at a Specified Point-2,What will be the support force due to point C?,15,20,25,30,30
Structural Analysis,Internal Loadings at a Specified Point-2,What will be the support reaction generated by support A?,25,10,15,20,25
Structural Analysis,Internal Loadings at a Specified Point-2,What will be the support reaction generated by support F?,5,7.5,10,15,15
Structural Analysis,Internal Loadings at a Specified Point-2,What will be moment generated by support A?,5,7.5,10,12.5,10
Structural Analysis,Analysis of Frames : No Sidesway-I,This beam is a sway frame. State whether this statement is true or false. ,true,false,w AnswerAnswer: b,"lanation: This frame is a non-sway frame as all supports, member and loading is symmetrical.","lanation: This frame is a non-sway frame as all supports, member and loading is symmetrical."
Structural Analysis,Analysis of Frames : No Sidesway-I,If value of EI in right frame member was twice that of the left one then this frame will be a sway one. State whether this statement is true or false. ,true,false,w AnswerAnswer: a,"lanation: In that case, members won’t remain symmetric anymore and beams will deflect.","lanation: In that case, members won’t remain symmetric anymore and beams will deflect."
Structural Analysis,Analysis of Frames : No Sidesway-I,What will be the value of FEMBC?,80,-80,-160,160,-80
Structural Analysis,Analysis of Frames : No Sidesway-I,What will be the value of FEMCB?,80,-80,-160,160,80
Structural Analysis,Analysis of Frames : No Sidesway-I,What will be the value of rotation at point A?,137.1/EI,-137.1/EI,0,100/EI,0
Structural Analysis,Analysis of Frames : No Sidesway-I,What will be the value of rotation at point D?,137.1/EI,-137.1/EI,0,100/EI,0
Structural Analysis,Analysis of Frames : No Sidesway-I,How many deflection unknowns will be there in this case for which we would need equations?,0,1,2,3,0
Structural Analysis,Analysis of Frames : No Sidesway-I,How many unknowns will be left finally which are non-zero?,0,1,2,3,2
Structural Analysis,Analysis of Frames : No Sidesway-I,How many total slope deflection equations will be written in this question?,8,6,4,3,6
Structural Analysis,Analysis of Frames : No Sidesway-I,What will be the FEMAB ?,80,-80,0,160,0
Structural Analysis,Analysis of Frames : No Sidesway-I,Which of the following set of points should be chosen to generate extra equations?,A and B,B and C,C and D,D and A,B and C
Structural Analysis,Analysis of Frames : No Sidesway-I,"What will be one of the extra condition, which we will get if we conserve moment near joint B?",mBA + mCA = 0,mBA + mCB = 0,mBA + mBC = 0,mAB + mBC = 0,mBA + mBC = 0
Structural Analysis,Analysis of Frames : No Sidesway-I,"What will be one of the extra condition, which we will get if we conserve moment near joint C?",mBA + mCA = 0,mBA + mCB = 0,mBA + mBC = 0,mCD + mCB = 0,mCD + mCB = 0
Structural Analysis,Analysis of Frames : No Sidesway-I,What will be the value of rotation at point B?,137.1/EI,-137.1/EI,0,100/EI,137.1/EI
Structural Analysis,Analysis of Frames : No Sidesway-I,What will be the value of rotation at point C?,137.1/EI,-137.1/EI,0,100/EI,-137.1/EI
Structural Analysis,Method of Joints,How many equilibrium equations do we need to solve generally on each joint of a truss?,1,2,3,4,2
Structural Analysis,Method of Joints,"If a member of a truss is in compression, then what will be the direction of force that it will apply to the joints?",Outward,Inward,Depends on case,No force will be there,Outward
Structural Analysis,Method of Joints,"If a member of a truss is in tension, then what will be the direction of force that it will apply to the joints?",Outward,Inward,Depends on case,No force will be there,Inward
Structural Analysis,Method of Joints,What should be ideally the first step to approach to a problem using method of joints?,Draw fbd of each joint,Draw fbd of overall truss,Identify zero force members,Determine external reaction forces,Identify zero force members
Structural Analysis,Method of Joints,What should be the angle (in degrees) in the given system (part of a bigger system) if both of the members have to be a zero force member?  ,22.5,45,67.5,90,90
Structural Analysis,Method of Joints,Which of the following are 0 force members?,"FG, HI, HJ","HI, HJ, AE","HI, HJ, HE","HI, HJ, FH","FG, HI, HJ"
Structural Analysis,Method of Joints,What will the magnitude of force (in N) transmitted by FI?,0,1,2,3,0
Structural Analysis,Method of Joints,What will the magnitude of force (in N) transmitted by IC?,0,1,2,3,0
Structural Analysis,Method of Joints,What is total no. of zero force members in the above given system?,7,8,9,10,9
Structural Analysis,Analysis of Frames : No Sidesway-III,What will be the value of Mba?,M/4,–M/4,M/2,–M/2,M/2
Structural Analysis,Analysis of Frames : No Sidesway-III,What will be the value of Mbc?,M/4,–M/4,M/2,–M/2,M/2
Structural Analysis,Analysis of Frames : No Sidesway-III,What will be the value of Mab?,M/4,–M/4,M/2,–M/2,M/4
Structural Analysis,Analysis of Frames : No Sidesway-III,What will be the value of Mcb?,M/4,–M/4,M/2,–M/2,M/4
Structural Analysis,Analysis of Frames : No Sidesway-III,What will be the value of rotation at point B?,ML/EI,ML/2EI,ML/4EI,ML/8EI,ML/8EI
Structural Analysis,Analysis of Frames : No Sidesway-III,What will be the vertical force at point A?,M/4L,4M/L,-3M/4L,M/2L,-3M/4L
Structural Analysis,Analysis of Frames : No Sidesway-III,What will be the vertical force at point C?,M/4L,4M/L,3M/4L,M/2L,3M/4L
Structural Analysis,Analysis of Frames : No Sidesway-III,What will be the horizontal force at point C?,M/4L,-3M/4L,3M/4L,M/2L,3M/4L
Structural Analysis,Analysis of Frames : No Sidesway-III,What will be the horizontal force at point A?,M/4L,-3M/4L,3M/4L,M/2L,-3M/4L
Structural Analysis,Analysis of Frames : No Sidesway-III,This beam is a sway frame. State whether this statement is true or false. ,true,false,w AnswerAnswer: b,"lanation: This frame is a non-sway frame as all supports, member and loading is symmetrical.","lanation: In that case, members won’t remain symmetric anymore and beams will deflect."
Structural Analysis,Analysis of Frames : No Sidesway-III,If value of EI in right frame member was twice that of the left one then this frame will be a sway one. State whether this statement is true or false. ,true,false,w AnswerAnswer: a,"lanation: In that case, members won’t remain symmetric anymore and beams will deflect.",-66.7
Structural Analysis,Analysis of Frames : No Sidesway-III,What will be the value of FEMBC?,66.7,-66.7,-160,160,66.7
Structural Analysis,Analysis of Frames : No Sidesway-III,What will be the value of FEMCB?,66.7,-66.7,-160,160,0
Structural Analysis,Analysis of Frames : No Sidesway-III,What will be the value of rotation at point A?,137.1/EI,-137.1/EI,0,100/EI,0
Structural Analysis,Influence Lines for Floor Girders and Maximum Influence at a Point due to a Series of Concentrated Loads,Floor loads are transmitted from slabs to which part in a floor girder system?,Floor beams,Side girders,Supporting columns,Nowhere,Floor beams
Structural Analysis,Influence Lines for Floor Girders and Maximum Influence at a Point due to a Series of Concentrated Loads,Which part transmits floor loads to side girders in a floor girder system?,Floor beams,Slabs,Supporting columns,Nowhere,Floor beams
Structural Analysis,Influence Lines for Floor Girders and Maximum Influence at a Point due to a Series of Concentrated Loads,Supporting columns are last element of load transfer in a floor girder system. State whether the above system is true or false. ,True,False,w AnswerAnswer: a,lanation: Support columns receives floor load at last of the transfer chain.,lanation: Support columns receives floor load at last of the transfer chain.
Structural Analysis,Influence Lines for Floor Girders and Maximum Influence at a Point due to a Series of Concentrated Loads,What is the main load carrying member in this system?,Floor beams,Side girders,Supporting columns,Nowhere,Side girders
Structural Analysis,Influence Lines for Floor Girders and Maximum Influence at a Point due to a Series of Concentrated Loads,Load transfer to girders happen at only some points. What are they called?,Girder points,Panel points,Column points,Side points,Panel points
Structural Analysis,Influence Lines for Floor Girders and Maximum Influence at a Point due to a Series of Concentrated Loads,"Generally, which parts’ ILD is given the most preference?",Floor beams,Side girders,Supporting columns,Nowhere,Side girders
Structural Analysis,Influence Lines for Floor Girders and Maximum Influence at a Point due to a Series of Concentrated Loads,"Assuming that we need to determine maximum shear at a point C of a beam, which of the following sentences will always be true for that condition?",At least one load at end point,At least two load at both the end points,One of the loads should be at a point in proximity to point C,None of the loads should be at a point in proximity to point C,One of the loads should be at a point in proximity to point C
Structural Analysis,Influence Lines for Floor Girders and Maximum Influence at a Point due to a Series of Concentrated Loads,"For a cantilevered beam, where would absolute maximum shear occur?",At midpoint,Depends upon position of load applied,Just next to free end,Just next to fixed support,Just next to fixed support
Structural Analysis,Influence Lines for Floor Girders and Maximum Influence at a Point due to a Series of Concentrated Loads,"For a simply supported beam, where would absolute maximum shear occur?",At midpoint,Depends upon position of load applied,Just next to one of ends,At both of the ends,Just next to one of ends
Structural Analysis,Influence Lines for Floor Girders and Maximum Influence at a Point due to a Series of Concentrated Loads,"For a cantilevered beam, where would absolute maximum moment occur?",At midpoint,Depends upon position of load applied,Just next to free end,Just next to fixed support,Just next to fixed support
Structural Analysis,Influence Lines for Floor Girders and Maximum Influence at a Point due to a Series of Concentrated Loads," For a simply supported beam, where would absolute maximum moment occur?",At midpoint,Depends upon position of load applied,Just next to one of ends,At both of the ends,Depends upon position of load applied
Structural Analysis,Influence Lines for Floor Girders and Maximum Influence at a Point due to a Series of Concentrated Loads,"If there are three point loads acting simultaneously on a simply supported beam, where would absolute max. Moment occur?",Beneath smallest force,Beneath med. force,Beneath largest force,Can‘t say,Can‘t say
Structural Analysis,Elastic-Beam Theory,Which of the following is correct?,1/M = EI/p,1/M = E/pI,1/M = p/EI,1/p = EI/m,1/M = p/EI
Structural Analysis,Elastic-Beam Theory,Elastic-Beam theory can be applied on a non-linear elastic material.[/expand] State whether the above statement is true or false. ,True,False,w AnswerAnswer: b,lanation: For elastic-beam theory to be applicable Hooke’s law must be applicable and for that material must behave in a linear-elastic manner.,lanation: For elastic-beam theory to be applicable Hooke’s law must be applicable and for that material must behave in a linear-elastic manner.
Structural Analysis,Elastic-Beam Theory,From where is radius of curvature measured?,From centre of bar,From one of the ends of bar,From any internal point,From an external point.,From an external point.
Structural Analysis,Elastic-Beam Theory,Which of the following can be a possible value of EI?,1,-1,-2,-3,1
Structural Analysis,Elastic-Beam Theory,What is the general form of elastic curve of a beam?,Linear first-order differential equation,Linear second-order differential equation,Non-linear first-order differential equation,Non-linear second-order differential equation,Non-linear second-order differential equation
Structural Analysis,Elastic-Beam Theory,What is the assumption for deriving above mentioned equation?,Deflection is only due to shear force,Deflection is only due to bending,Deflection is due to both shear and bending,Axial forces caused bending,Deflection is only due to bending
Structural Analysis,Elastic-Beam Theory,Slope of a deflected curve is generally:-,Very large,Very small,In between,Can’t say,Very small
Structural Analysis,DKI and DSI – I,Which of the following loads are not carried by a beam?,axial load,shear load,bending load,flexural load,axial load
